REPAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total # Active Wells,83,,,"  270,486 ",Total # People Served,,,29,# of additional repairs made to the same wells,,,,,,0,# of repairs to wells NOT Ours,,,,,,,,,,,,,,"  270,486 "
,ORANGE = potential duplicate -- please review,,,,,,,,,(DD/MM/YYYY),(MM/DD/YYYY),,(MM/DD/YYYY),,,,,,,,,,,,,,,,,,
Well #,Village,Active?,New/Repair,NOT Ours?,#  Served,Latitude,Longitude,District,Region,TZ Repair Date,US Repair Date,Pump Mfg/Model,Last Oper. Date,Pump Type,Depth /Ft,Repair Description,Materials Used,Photos (Yes/No),Dedicated To,Dedicated By,Village Contact,Contact Tel #,H2O Leader,UTM East,UTM North,Total Costs (TSH),Total Costs (USD),Photos Sent to whom,Other Comments,,#  Unique People Served
R1,Bituntu,YES,Repair,1,"  2,670 ",?,?,Bukoba Rural,Kagera,20/07/2023,7/23/2023,Tanira,3 days not working,,,Flashing and Replacement,"3 pcs Riser, 3 pcs Rods",,,,,,,,,"  2,100,638 ", $ 840 ,,,,"  2,670 "
R2,Buchurago,YES,Repair,1,"  3,000 ",?,?,Bukoba Rural,Kagera,7/8/2023,8/7/2023,Tanira,1 day not working,,,Replacement and Flashing,1 pc cyl,,,,,,,,,"  1,980,868 ", $ 792 ,,,,"  3,000 "
R3,Bugorora,YES,Repair,1,  999 ,?,?,Misenyi,Kagera,20/04/2024,4/20/2024,Tanira, 6 mos not working,,,Service of parts and Flashing,"2 pcs riser, 3 pcs rods",No,,,,,,,,,,,,,  999 
R4,BUNAZI,YES,Repair,0,"  2,100 ",100ʹ8.9ʺS,31023ʹ42.1ʺE,Misenyi,Kagera,2/3/2021,3/2/2021,Tanira,7 mo.s not working,,,Replacement of parts and Flashing,"2pcs riser, 2pcs rod, 1pc Cylinder",No photos,,,,,,,,,,,,,  -   
R5,Bushasha,YES,Repair,0,"  2,400 ",10 5’10.19” S,310 48’37.04” E,Bukoba Rural,Kagera,19/5/2019,5/19/2019,Electric Pump,4 mo.s not working,Electric Pump,,Service of parts and Flashing,Hoist Track,No photos,,,,,,,,,,,,,  -   
R6,Butembe,YES,Repair,1,3500,00°20’3.75”N,"33°12’18.54""E",Jinja,Uganda,29/08/2024,8/29/2024,,,,,Replacement of parts and Flashing ,"1 pc cyl, 5pcs rod, 5pcs riser",Yes - 4 photos,,,,,,,,,,Ndiyo,"Uganda, Jinja region August 29",,"  3,500 "
xxxxx,Chagazi  -- NO DATA SHEET,YES,Repair,1,  999 ,?,?,,,,,,,,,,,No,,,,,,,,,,,,,  999 
R8,Gaburanga,YES,Repair,1,"  2,700 ",?,?,Misenyi,Kagera,3/3/2023,3/3/2023,Tanira,5 YR.s  not working,,,Service of parts and Flashing,Hoist Track,Yes - 2 photos,,,,,,,,"  1,716,138 ", $ 686 ,,,,"  2,700 "
R9,Gaburanga,PRIOR,Repair,1,"  2,700 ",?,?,Misenyi,Kagera,3/3/2023,3/3/2023,Tanira,1 day not working,,,Flashing,Hoist Track,,,,,,,,,,,,,,"  2,700 "
R10,Gengesaba,YES,Repair,1,  999 ,"3° 1' 5.7"" S","32° 9' 43.5"" E",Gaita,Gaita,25/2/2023,2/25/2023,Indian Mark II,,,,Replacement of,,,,,,,,,,,,,,,  999 
R11,Ibwera,YES,Repair,1,"  2,500 ",?,?,Bukoba Rural,Kagera,12/8/2023,8/12/2023,Tanira,1 day not working,,,Flashing and Replacement,1 pc cyl,,,,,,,,,"  1,980,868 ", $ 792 ,,,,"  2,500 "
R12,Ikongora,YES,Repair,1,"  2,570 ",?,?,Bukoba Rural,Kagera,3/8/2023,8/3/2023,Tanira,1 day not working,,,Flashing,Hoist Track,,,,,,,,,"  1,578,583 ", $ 631 ,,,,"  2,570 "
R13,Ishozi / Kishwa,YES,Repair,1,"  2,100 ",?,?,Misenyi,Kagera,7/8/2023,8/7/2023,Indian Mark II,1 day not working,,,Flashing and Replacement,"6 pcs Riser, 4 pcs Rods",,,,,,,,,"  2,010,868 ", $ 804 ,,,,"  2,100 "
xxxxx,Itoma -- NO DATA SHEET,YES,Repair,1,"  1,200 ",1024’7.39”S,310.30’41.8”E,Bukoba Rural,Kagera,9/11/2025,11/9/2025,Indian Mark ll,6Mon.s Not Working,,,"Service, Changing Parts",2pc Rods ,Yes,,,,,,,,,,,,,"  1,200 "
R14,Kagarama,YES,Repair,0,3500,"1 ° 24' 25.28"" s","31 ° 33' 55.68"" E",Bukoba Rural,Kagera,3/10/2024,10/3/2024,Tanira,2 weeks not working,,,Replacement of parts and Flashing ,1 pc Bolt,Yes - 4 photos,,,,,,,,,,Ndiyo,Installed pump in July and repaired in Oct.,,  -   
R15,Kagarama,PRIOR,Repair,0,"  2,900 ","1 ° 24' 25.28"" s","31 ° 33' 55.68"" E",Bukoba Rural,Kagera,14/8/2025,8/14/2025,Indian Mark II,1 week not working,,,Service of parts and Flashing,"1 pc cyl, 6 pcs rods",Yes - 7 photos,,,,,,,,,,,,,  -   
R16,Kagasha,YES,Repair,1,  340 ,"1° 13' 1.33"" S","31° 25' 34.06"" E",Misenyi,Kagera,24/10/2025,10/24/2025,Indian Mark II,6 years not working,,,Service of parts and Flashing,"6pc riser, 6pcs rods, 1 pc cyl",Yes - 7 photos,,,,,,,,,,,Thankful!,,  340 
R18,Kaibanja,YES,Repair,1,"  3,300 ",1024ʹ20ʺS,31032 ʹ20.09ʺE,Bukoba Rural,Kagera,22/04/2021,4/22/2021,Indian Mark II,4 mo.s not working,,,Replacement of parts and Flashing,"2pcs riser, 1pc Chain",No photos,,,,,,,,"  1,860,868 ", $ 744 ,,,,"  3,300 "
R19,Kakindo,YES,Repair,1,2500,?,?,Bukoba Rural,Kagera,17/05/2024,5/17/2024,Tanira,5 years not working,,,Replacement of parts and Flashing ,"1 pc cyl, 2pcs Riser, 2pcs Rod",No,,,,,,,,,,,,,"  2,500 "
R17,Kakinga A’,YES,Repair,1,  700 ,"1° 14' 45.16"" s","31° 25' 47.13"" E",Misenyi,Kagera,7/11/2025,11/7/2025,Tanira,11 mo.s not working,,,"Service & change parts, weld the Top Handle of the Pump","1 pc riser, 1 pc Rod",Yes - 5 photos,,,,,,,,,,,,,  700 
xxxxx,Kakinga B? -- NO DATA SHEET,YES,Repair,1,680,1° 14' 36.44'' S,31° 25' 59.44'' E,Misenyi,Kagera,11/3/2025,11/3/2025,Tanira,7mon's without working ,,,"  Wlding, Service, Changing of Prts","1pcs riser , 1pcs rod",Yes,,,,,,,,,,,,,  680 
R48,Kakinga C,YES,Repair,1,  680 ,"1°14' 36.44"" s","31° 25' 59.44"" E",Misenyi,Kagera,3/10/2025,10/3/2025,Tanira,7 mo.s not working,,,Service and changing of parts,"1 pc riser, 1 pc Rod",Yes - 4 photos,,,,,,,,,,,,,  680 
R20,Kamato,YES,Repair,1,"  2,300 ",?,?,Bukoba Rural,Kagera,3/8/2023,8/3/2023,Indian Mark II,1 day not working,,,Flashing and Replacement,5 pcs Riser,,,,,,,,,"  1,795,868 ", $ 718 ,,,,"  2,300 "
R21,Kamuli,YES,Repair,1,"  2,700 ",1037ʹ36.26ʺS,310 26ʹ39.91ʺE,Bukoba Rural,Kagera,27/10/2019,10/17/2019,Indian Mark II,8 mo.s not working,,,Replacement of parts and Flashing,"3pcs riser, 1pcs rod, 1pc Chain",No photos,,,,,,,,,,,,,"  2,700 "
xxxxx,Kanshenya -- NO DATA SHEET,YES,Repair,1,"  3,400 ",1046’0.33”S,310.27’1.23”E,Muleba,Kagera,18/6/2025,6/18/2025,Tanira,1wk Not working,,,Adjustment of Riser and Rod,No Material used,Yes,,,,,,,,,,,,,"  3,400 "
R22,KANTAGA,YES,Repair,1,"  4,700 ",10 15’44.” S,300 52’33.5” E,Kyerwa,Kagera,24/06/2021,6/24/2021,Indian Mark II,4 mo.s not working,,,Replacement of parts and Flashing,"4pcs riser, 2pcs rod, 1pc Chain",No photos,,,,,,,,,,,,,"  4,700 "
R23,Kantaga - 1st repair,YES,Repair,1,4700,1°15’44.” S,30°52’33.5” E,Kyerwa,Kagera,29/06/2024,6/29/2024,Tanira,2 weeks not working,,,Replacement of parts and Flashing ,Top Head,Yes - 3 photos,,,,,,,,,,,Repaired in June and again in July,,"  4,700 "
R24,Kantaga - 2nd repair,PRIOR,Repair,1,4700,1°15’44.” S,30°52’33.5” E,Kyerwa,Kagera,24/07/2024,7/24/2024,Tanira,2 weeks not working,,,Replacement of parts and Flashing ,"1pc riser, 1pc cyl, 1 pc rod",No,,,,,,,,,,,Repaired in June and again in July,,"  4,700 "
R25,Kanyigo,YES,Repair,1,"  2,900 ",?,?,Msenyi,Kagera,7/8/2023,8/7/2023,Indian Mark II,1 day not working,,,Replacement and Flashing,6 pcs Riser,,,,,,,,,"  1,825,868 ", $ 730 ,,,,"  2,900 "
R26,KAROKONDA,YES,Repair,1,1780,1°34’1.44”S,31°28’16.61”E,Bukoba Rural,Kagera,5/12/2024,12/5/2024,Indian Mark II, 6 mos not working,,,Service of parts and Flashing,"3 pcs riser, 3 pcs rods",2 photos-no water,,,,,,,,,,,,,"  1,780 "
R27,Kasambya,YES,Repair,1,"  3,000 ",1°12’28.0”S,31025’44.1”E,Misenyi,Kagera,1/3/2023,3/1/2023,Tanira,1 day not working,,,Flashing and Replacement,"4 pcs Rider, 4 pcs Rods",,,,,,,,,,,,,,"  3,000 "
R28,Kasambya,PRIOR,Repair,1,"  3,000 ",1°12’28.0”S,31025’44.1”E,Misenyi,Kagera,1/3/2023,3/1/2023,Tanira,9 YR.s not working,,,Replacement of parts and Flashing,"4pcs of riser, 4pcs of rod",Yes - 2 photos,,,,,,,,"  2,031,138 ", $ 812 ,,,,"  3,000 "
R29,Kasambya,PRIOR,Repair,1,2700,1°12’28.0”S,31025’44.1”E,Misenyi,Kagera,13/12/2024,12/13/2024,Indian Mark II,1 month not working,,,Service of parts and Flashing,"2 pcs riser, 3 pcs rods",Yes - 2 photos,,,,,,,,,,,,,"  2,700 "
xxxxx,Kashaga -- NO DATA SHEET,YES,Repair,1,  350 ,1° 13' 1.33'' S,31° 25' 34.06'' E,Misenyi,Kagera,10/22/2025,,Tanira,6Yrs Not Working,,,Service of parts and flashing  ,"6pcs Rsr, 6pcs Rod, 1pc Cyl",Yes,,,,,,,,,,,,,  350 
R30,Kashasha - Bukoba,YES,Repair,1,"  2,900 ",10 14’42.84” S,310 26’52.89”E,Bukoba Rural,Kagera,25/06/2019,6/25/2019,Electric Pump,,,,Replacement of parts and Flashing ,30 meters Sub-mersible Cable,No photos,,,,,,,,,,,,,"  2,900 "
R31,Kashasha - Bukoba,PRIOR,Repair,1,"  1,500 ",1014ʹ42.84ʺS,310 26ʹ52.89ʺE,Bukoba Rural,Kagera,31/04/2021,4/31/2021,Electric Pump,1 mo. not working,,,Replacement of parts and Flashing,77 mtrs water proof cable,No photos,,,,,,,,,,,,,"  1,500 "
R32,Kashasha - Misenyi,YES,Repair,1,"  2,800 ","1° 14' 5.36"" S","31° 29' 51.77"" E",Misenyi,Kagera,21/7/2025,7/21/2025,Indian Mark II,3 weeks not working,,, Service of parts,1 pc Riser,Yes - 4 photos,,,,,,,,,,,,,"  2,800 "
R33,Katunga Kasambya,YES,Repair,1,"  2,800 ","1 ° 12' 28.44"" S","31° 26' 2.71"" E",Bukoba Rural,Kagera,19/7/2025,7/19/2025,Afridev,3 weeks not working,,, Service of parts,1 pc Riser,Yes - 4 photos,,,,,,,,,,,,,"  2,800 "
R34,Katwe,YES,Repair,1,"  4,800 ",1036ʹ9.70ʺS,31016 ʹ44.48ʺE,Karagwe,Kagera,4/1/2019,1/4/2019,TANIRA,3 mo.s not working,,,Replacement of parts and Flashing,"3pcs riser, 1pcs rod",No photos,,,,,,,,,,,,,"  4,800 "
R35,Kazinga,YES,Repair,1,"  2,800 ",?,?,Bukoba Rural,Kagera,25/2/2023,2/25/2023,Indian Mark II,3 mo.s not working,,,Service of parts and Flashing,,No photos,,,,,,,,,,,,,"  2,800 "
R36,KIDO,YES,Repair,1,"  1,700 ",10 24’23.40”S,300 45’40.47”E,Kyerwa,Kagera,9/2/2022,2/9/2022,Indian Mark II,36 mo.s not working,,,Replacement of parts and Flashing,"5pcs of riser, 4pcs of rod",No photos,,,,,,,,,,,,,"  1,700 "
R37,Kijongo A,YES,Repair,1,"  1,800 ",?,?,Bukoba Rural,Kagera,28/6/2023,6/28/2023,Indian Mark II,1 day not working,,,Flashing and Replacement,"2 pcs Rods. 1 pc cyl, 4 pcs risers",,,,,,,,,"  2,341,138 ", $ 936 ,,,,"  1,800 "
R38,Kijongo A (Second repair),PRIOR,Repair,1,"  3,600 ",?,?,Bukoba Rural,Kagera,12/8/2023,8/12/2023,Indian Mark II,1 day not working,,,Flashing and Replacement,"1 pc cyl, 3 pcs Riser, 3 pcs rod",,,,,,,,,,,,,,"  3,600 "
R39,Kijongo B,YES,Repair,1,"  2,600 ","1° 25'6.49"" S","31°33'42.37"" E",Bukoba Rural,Kagera,7/8/2023,8/7/2023,Tanira,24 mo.s not working,,,Service of parts and flashing,"2pcs Riser, 1pc Rod, 1pc Cylinder",Yes - 3 photos,,,,,,,,,,,,,"  2,600 "
R40,Kijongo B (Second Repair),PRIOR,Repair,1,3570,"1° 25'6.49"" S","31°33'42.37"" E",Bukoba Rural,Kagera,22/03/2024,3/22/2024,Tanira,3 weeks not working,,,Service of parts and Flashing,Hoist Track,No,,,,,,,,,,,,,"  3,570 "
R41,Kijongo B (Third Repair),PRIOR,Repair,1,"  1,200 ","1° 25'6.49"" S","31°33'42.37"" E",Bukoba Rural,Kagera,17/10/2025,10/17/2025,Tanira,4 weeks not working,,,Service an Replacement of Materials,1 pc of Cylinder,Yes - 3 photos,,,,,,,,,,,,,"  1,200 "
R42,KIJONGO C (Kitundu),YES,Repair,1,"  3,600 ",?,?,Bukoba Rural,Kagera,12/8/2023,8/12/2023,Indian Mark II,15 YR.s not working,,,Replacement of parts and Flashing ,"1pc of Cylinder, 3pcs Riser, 3 pcs rod",Yes - 3 photos,,,,,,,,"  2,706,138 "," $ 1,082 ",Photos sent before,This was entered prior to Nov 2024,,"  3,600 "
R43,Kikagate-Ngenge,YES,Repair,1,"  1,900 ","1° 43'8.08"" S","31°26'40.08"" E",Muleba,Kagera,27/6/2025,6/27/2025,Tanira,1 day not working,,,,no parts,Yes - 3 photos,,,---,---,,,,,,,,,"  1,900 "
R44,Kikagate-Ngenge (2nd rpr),PRIOR,Repair,1,"  2,500 ","1°43'7.96"" s","31°26'40.2"" E",Muleba,Kagera,1/8/2025,8/1/2025,Indian Mark II,1 week not working,,,Svc parts+Flash &change whole syst,"1 pc cyl, 9pcs Riser, 9pcs Rod, 1 pc Top hand pump, 1 pc Chain",Yes - 3 photos,,,,,,,,,,,Thankful!,,"  2,500 "
R45,KIKAGATI,YES,Repair,1,"  3,680 ",1034ʹ7.02ʺ S,31025ʹ2.92ʺ E,Bukoba Rural,Kagera,7/12/2020,12/7/2020,Indian Mark II,2 mo.s not working,,,Replacement of part,1pc of chain,No photos,,,,,,,,,,,,,"  3,680 "
R46,KIKAGATI,PRIOR,Repair,1,"  4,800 ",?,?,Bukoba Rural,Kagera,22/02/2023,2/22/2023,Indian Mark II,1 day not working,,,Flashing and Replacement,"4 pcs Riser, 4 pcs Rod, 1 pc cyl",,,,,,,,,"  2,369,138 ", $ 948 ,,,,"  4,800 "
R47,KIKAGATI,PRIOR,Repair,1,"  3,500 ",?,?,Bukoba Rural,Kagera,23/2/2023,2/23/2023,Indian Mark II,,---,134.4,Replacement and Maintenance,3 pcs Rods; 3 pcs Risers,Yes,,,---,---,,,,,,This R2 Kikagati 3500 repair is not on the same well as R1 Kikagate 4800.,,,"  3,500 "
R49,KILAMBA SECONDARY,YES,Repair,1,"  1,400 ","1°44' 11.86"" S","31° 27' 13.57"" E",Muleba,Kagera,23/10/2025,10/23/2025,Tanira,6 days not working,,,"Service and Replacement,","Top· Hand Pump,",Yes - 5 photos,,,,,,,,,,,Grateful!,,"  1,400 "
R50,Kinango,YES,Repair,1,"  3,500 ",2°39ʹ6.99ʺS,330 20ʹ 30.84ʺE,Magu,Mwanza,2/3/2022,3/2/2022,?,2 mo.s not working,,,Service of parts and Flashing,"2pcs of riser, 2pcs of rod",No photos,,,,,,,,,,,,,"  3,500 "
R51,Kinango,PRIOR,Repair,1,"  3,500 ","2° 39'6.99"" S","33° 20' 30.84"" E",Magu,Mwanza,25/2/2023,2/25/2023,Indian Mark II,,,,Maintenance,"2 pc chain, 2 pcs rods",,,,---,---,,,,,,,,,"  3,500 "
